"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
56371679,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
56386683,00000012,false,Rx,0,0,00,00,00,00,00,00,00,00
56441694,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
56451696,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
56471700,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
56481702,00000004,false,Rx,0,2,80,FE,00,00,00,00,00,00
56486703,00000012,false,Rx,0,6,01,10,11,11,04,00,00,00
56501706,00000025,false,Rx,0,8,3A,00,F2,11,11,D1,80,FF
56541715,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
56551717,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
56571721,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
56586724,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
56641735,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
56651737,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
56671741,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
56681744,00000004,false,Rx,0,2,80,FE,00,00,00,00,00,00
56686745,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
56701748,00000025,false,Rx,0,8,3A,00,F2,11,11,D1,80,FF
56741756,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
56751758,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
56771762,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
56786765,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
56841777,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
56851779,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
56871783,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
56881785,00000004,false,Rx,0,2,80,FE,00,00,00,00,00,00
56886786,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
56901789,00000025,false,Rx,0,8,3A,00,F2,11,11,D1,80,FF
56941797,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
56951799,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
56971804,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
56986807,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
57041818,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
57051820,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
57071824,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
57081826,00000004,false,Rx,0,2,80,FE,00,00,00,00,00,00
57086827,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
57101830,00000025,false,Rx,0,8,3A,00,F2,11,11,D1,80,FF
57141839,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
57151841,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
57171845,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
57186848,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
57241859,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
57251862,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
57271866,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
57281868,00000004,false,Rx,0,2,80,FE,00,00,00,00,00,00
57286869,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
57301872,00000025,false,Rx,0,8,3A,00,F2,11,11,D1,80,FF
57341880,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
57351882,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
57371886,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
57386890,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
57441901,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
57451903,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
57471907,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
57481909,00000004,false,Rx,0,2,80,FE,00,00,00,00,00,00
57486910,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
57501913,00000025,false,Rx,0,8,3A,00,F2,11,11,D1,80,FF
57541922,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
57551924,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
57571928,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
57586931,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
57641942,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
57651944,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
57671948,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
57681951,00000004,false,Rx,0,2,80,FE,00,00,00,00,00,00
57686952,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
57701955,00000025,false,Rx,0,8,3A,00,F2,11,11,D1,80,FF
57741963,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
57751965,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
57771969,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
57786972,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
57841984,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
57851986,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
57871990,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
57881992,00000004,false,Rx,0,2,80,FE,00,00,00,00,00,00
57886993,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
57901996,00000025,false,Rx,0,8,3A,00,F2,11,11,D1,80,FF
57942004,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
57952006,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
57972011,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
57987014,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
58042025,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
58052027,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
58072031,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
58082033,00000004,false,Rx,0,2,80,FE,00,00,00,00,00,00
58087034,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
58102037,00000025,false,Rx,0,8,3A,00,F2,11,11,D1,80,FF
58142046,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
58152048,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
58172052,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
58187055,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
58242066,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
58252069,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
58272073,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
58282075,00000004,false,Rx,0,2,80,FE,00,00,00,00,00,00
58287076,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
58302079,00000025,false,Rx,0,8,3A,00,F2,11,11,D1,80,FF
58342087,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
58352089,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
58372093,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
58387096,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
58442108,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
58452110,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
58472114,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
58482116,00000004,false,Rx,0,2,80,FE,00,00,00,00,00,00
58487117,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
58502120,00000025,false,Rx,0,8,3A,00,F2,11,11,D1,80,FF
58542129,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
58552131,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
58572135,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
58587138,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
58642149,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
58652151,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
58672155,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
58682158,00000004,false,Rx,0,2,80,FE,00,00,00,00,00,00
58687159,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
58702162,00000025,false,Rx,0,8,3A,00,F2,11,11,D1,80,FF
58742170,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
58752172,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
58772176,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
58787179,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
58842191,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
58852193,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
58872197,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
58882199,00000004,false,Rx,0,2,80,FE,00,00,00,00,00,00
58887200,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
58902203,00000025,false,Rx,0,8,3A,00,F2,11,11,D1,80,FF
58942211,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
58952213,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
58972218,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
58987221,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
59042232,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
59052234,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
59072238,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
59082240,00000004,false,Rx,0,2,80,FE,00,00,00,00,00,00
59087241,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
59102244,00000025,false,Rx,0,8,3A,00,F2,11,11,D1,80,FF
59142253,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
59152255,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
59172259,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
59187262,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
59242273,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
59252276,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
59272280,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
59282282,00000004,false,Rx,0,2,80,FE,00,00,00,00,00,00
59287283,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
59302286,00000025,false,Rx,0,8,3A,00,F2,11,11,D1,80,FF
59342294,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
59352296,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
59372300,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
59387304,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
59442315,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
59452317,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
59472321,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
59482323,00000004,false,Rx,0,2,80,FE,00,00,00,00,00,00
59487324,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
59502327,00000025,false,Rx,0,8,3A,00,F2,11,11,D1,80,FF
59542336,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
59552338,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
59572342,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
59587345,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
59642356,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
59652358,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
59672363,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
59682365,00000004,false,Rx,0,2,80,FE,00,00,00,00,00,00
59687366,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
59702369,00000025,false,Rx,0,8,3A,00,F2,11,11,D1,80,FF
59742377,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
59752379,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
59772383,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
59787386,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
59842398,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
59852400,00000010,false,Rx,0,6,5E,21,FE,80,99,99,00,00
59872404,00000011,false,Rx,0,4,00,00,00,F8,00,00,00,00
59882406,00000004,false,Rx,0,2,80,FE,00,00,00,00,00,00
59887407,00000012,false,Rx,0,6,01,14,1D,11,04,00,00,00
