"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
256629171,00000012,false,Rx,0,6,01,10,11,11,A4,00,00,00
10532,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
30536,00000011,false,Rx,0,4,00,73,00,F8,00,00,00,00
40538,00000004,false,Rx,0,2,43,FE,00,00,00,00,00,00
45539,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
60542,00000025,false,Rx,0,8,5E,55,F0,11,11,11,D1,FF
100551,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
110553,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
130557,00000011,false,Rx,0,4,00,6B,00,F8,00,00,00,00
145508,00000012,false,Rx,0,6,02,10,11,11,A4,00,00,00
200572,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
210574,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
230578,00000011,false,Rx,0,4,00,6E,00,F8,00,00,00,00
240580,00000004,false,Rx,0,2,43,FE,00,00,00,00,00,00
245581,00000012,false,Rx,0,6,02,10,11,11,A4,00,00,00
260585,00000025,false,Rx,0,8,5E,55,F0,11,11,11,D1,FF
300593,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
310595,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
330599,00000011,false,Rx,0,4,00,66,00,F8,00,00,00,00
345551,00000012,false,Rx,0,6,02,10,11,11,A4,00,00,00
400614,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
410616,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
430621,00000011,false,Rx,0,4,00,6B,00,F8,00,00,00,00
440623,00000004,false,Rx,0,2,43,FE,00,00,00,00,00,00
445624,00000012,false,Rx,0,6,02,10,11,11,A4,00,00,00
460627,00000025,false,Rx,0,8,5E,55,F0,11,11,11,D1,FF
500636,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
510638,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
530642,00000011,false,Rx,0,4,00,69,00,F8,00,00,00,00
545593,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
600657,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
610659,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
630663,00000011,false,Rx,0,4,00,6E,00,F8,00,00,00,00
640665,00000004,false,Rx,0,2,43,FE,00,00,00,00,00,00
645666,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
660670,00000025,false,Rx,0,8,5E,55,F0,11,11,11,D1,FF
700678,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
710680,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
730684,00000011,false,Rx,0,4,00,6E,00,F8,00,00,00,00
745636,00000012,false,Rx,0,6,02,10,11,11,A4,00,00,00
800699,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
810701,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
830706,00000011,false,Rx,0,4,00,6B,00,F8,00,00,00,00
840708,00000004,false,Rx,0,2,43,FE,00,00,00,00,00,00
845709,00000012,false,Rx,0,6,02,10,11,11,A4,00,00,00
860712,00000025,false,Rx,0,8,5E,55,F0,11,11,11,D1,FF
900721,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
910723,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
930727,00000011,false,Rx,0,4,00,6B,00,F8,00,00,00,00
945678,00000012,false,Rx,0,6,02,10,11,11,A4,00,00,00
1000742,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
1010744,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
1030748,00000011,false,Rx,0,4,00,6B,00,F8,00,00,00,00
1040750,00000004,false,Rx,0,2,43,FE,00,00,00,00,00,00
1045751,00000012,false,Rx,0,6,02,10,11,11,A4,00,00,00
1060755,00000025,false,Rx,0,8,5E,55,F0,11,11,11,D1,FF
1100763,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
1110765,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
1130769,00000011,false,Rx,0,4,00,73,00,F8,00,00,00,00
1145721,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
1200784,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
1210786,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
1230791,00000011,false,Rx,0,4,00,6B,00,F8,00,00,00,00
1240793,00000004,false,Rx,0,2,43,FE,00,00,00,00,00,00
1245794,00000012,false,Rx,0,6,03,10,11,11,A4,00,00,00
1260797,00000025,false,Rx,0,8,5E,55,F0,11,11,11,D1,FF
1300806,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
1310808,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
1330812,00000011,false,Rx,0,4,00,6B,00,F8,00,00,00,00
1345815,00000012,false,Rx,0,6,02,10,11,11,A4,00,00,00
1400827,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
