Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8,,B0,B1,B2,B3,B4,B5,B6,B7,,
234770404,24,FALSE,Rx,0,3,C2,0,FF,0,0,0,0,0,,194,0,255,0,0,0,0,0,,
12469853,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
12484857,12,FALSE,Rx,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,
12539868,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
12549870,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
12569875,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
12579877,4,FALSE,Rx,0,2,80,FE,0,0,0,0,0,0,,128,254,0,0,0,0,0,0,,
12584878,12,FALSE,Rx,0,6,1,10,11,11,4,0,0,0,,1,16,17,17,4,0,0,0,,
12599881,25,FALSE,Rx,0,8,44,0,F2,11,11,D1,80,FF,,68,0,242,17,17,209,128,255,,17408
12639890,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
12649892,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
12669896,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
12684899,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
12739911,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
12749913,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
12769917,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
12779919,4,FALSE,Rx,0,2,80,FE,0,0,0,0,0,0,,128,254,0,0,0,0,0,0,,
12784920,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
12799924,25,FALSE,Rx,0,8,44,0,F2,11,11,D1,80,FF,,68,0,242,17,17,209,128,255,,17408
12839932,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
12849934,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
12869938,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
12884942,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
12939953,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
12949955,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
12969960,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
12979962,4,FALSE,Rx,0,2,80,FE,0,0,0,0,0,0,,128,254,0,0,0,0,0,0,,
12984963,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
12999966,25,FALSE,Rx,0,8,44,0,F2,11,11,D1,80,FF,,68,0,242,17,17,209,128,255,,17408
13039975,1,FALSE,Rx,0,2,5E,1,0,0,0,0,0,0,,94,1,0,0,0,0,0,0,,
13049977,10,FALSE,Rx,0,6,5E,21,FE,80,99,99,0,0,,94,33,254,128,153,153,0,0,,
13069981,11,FALSE,Rx,0,4,0,0,0,F8,0,0,0,0,,0,0,0,248,0,0,0,0,,
13084984,12,FALSE,Rx,0,6,1,14,1D,11,4,0,0,0,,1,20,29,17,4,0,0,0,,
