"Time Stamp",ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
70715715,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
15854,00000025,false,Rx,0,8,5D,43,F0,11,11,11,D1,FF
55862,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
65864,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
85869,00000011,false,Rx,0,4,00,6E,00,F8,00,00,00,00
100872,00000012,false,Rx,0,0,00,00,00,00,00,00,00,00
155884,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
165886,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
185890,00000011,false,Rx,0,4,00,70,00,F8,00,00,00,00
195892,00000004,false,Rx,0,2,52,FE,00,00,00,00,00,00
200893,00000012,false,Rx,0,0,00,00,00,00,00,00,00,00
215896,00000025,false,Rx,0,8,5D,43,F0,11,11,11,D1,FF
255905,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
265907,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
285911,00000011,false,Rx,0,4,00,6B,00,F8,00,00,00,00
300914,00000012,false,Rx,0,0,00,00,00,00,00,00,00,00
355926,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
365928,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
385932,00000011,false,Rx,0,4,00,6B,00,F8,00,00,00,00
395935,00000004,false,Rx,0,2,4E,FE,00,00,00,00,00,00
400936,00000012,false,Rx,0,0,00,00,00,00,00,00,00,00
415939,00000025,false,Rx,0,8,5D,5A,F0,11,11,11,D1,FF
455947,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
465949,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
485954,00000011,false,Rx,0,4,00,6E,00,F8,00,00,00,00
500957,00000012,false,Rx,0,0,00,00,00,00,00,00,00,00
555968,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
565971,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
585975,00000011,false,Rx,0,4,00,6E,00,F8,00,00,00,00
595977,00000004,false,Rx,0,2,50,FE,00,00,00,00,00,00
600978,00000012,false,Rx,0,0,00,00,00,00,00,00,00,00
615981,00000025,false,Rx,0,8,5D,5A,F0,11,11,11,D1,FF
655990,00000001,false,Rx,0,2,5E,01,00,00,00,00,00,00
665992,00000010,false,Rx,0,6,5E,21,FE,C0,99,99,00,00
685996,00000011,false,Rx,0,4,00,6E,00,F8,00,00,00,00
700999,00000012,false,Rx,0,0,00,00,00,00,00,00,00,00
